;gene_symbol;Spearman_r;p;p_fdr;p_spin;p_spin_fdr
191;KCNC4;0.148598479;0.22651532;0.473945471;0.0665;0.177175
282;PPP2R1B;0.185151605;0.130636801;0.390226674;0.0675;0.17856383
22;ASPA;0.178699931;0.144828967;0.399219514;0.069;0.181246479
28;BMP6;0.14634612;0.23371196;0.476363722;0.0705;0.182614583
242;NFE2L3;0.174462441;0.154759283;0.399403625;0.0705;0.182614583
39;CBLB;0.160833755;0.190118513;0.437742009;0.0725;0.185231293
249;NOTCH2;-0.183242826;0.134721151;0.390226674;0.073;0.185231293
288;PXN;0.183414616;0.134349658;0.390226674;0.073;0.185231293
266;PDE1A;-0.182937421;0.135383499;0.390226674;0.0735;0.185239865
216;MCFD2;-0.192023211;0.116707479;0.390226674;0.076;0.1865
245;NKX2-2;0.18415904;0.13274879;0.390226674;0.076;0.1865
312;SEMA6D;0.161559092;0.188101459;0.437742009;0.075;0.1865
328;STAC2;0.14331116;0.243657303;0.483426457;0.0745;0.1865
45;CD47;0.176352132;0.150270238;0.399219514;0.079;0.187665625
53;CDK2AP1;0.17619943;0.150629345;0.399219514;0.08;0.187665625
93;DCK;-0.175913113;0.151304394;0.399219514;0.0775;0.187665625
140;GDI2;-0.161444565;0.188418911;0.437742009;0.079;0.187665625
177;IGF1R;0.132812873;0.280280346;0.513456133;0.08;0.187665625
250;NPTX1;-0.154191203;0.209317811;0.466171568;0.079;0.187665625
352;TRH;-0.166521918;0.174713217;0.425934835;0.0805;0.187665625
370;ATP6V0E1;0.157436128;0.199774149;0.457151887;0.078;0.187665625
331;SULF2;-0.150430908;0.220775496;0.473271609;0.0815;0.18881677
1;ABCA2;0.163639661;0.182401385;0.433348513;0.0855;0.191890173
33;CACNA2D3;0.166865498;0.173812758;0.425934835;0.084;0.191890173
58;CHRNA4;-0.153198638;0.212300448;0.466171568;0.0885;0.191890173
61;CIDEA;-0.149190201;0.224650578;0.47341619;0.086;0.191890173
65;CLDND1;0.178890809;0.144393158;0.399219514;0.0875;0.191890173
66;CLIC1;0.165911109;0.176322425;0.427066653;0.085;0.191890173
89;CUX1;0.144742745;0.238930496;0.48173554;0.089;0.191890173
98;DDR1;0.156748967;0.201768774;0.457382597;0.086;0.191890173
120;FN1;0.170950286;0.16336567;0.408962381;0.0875;0.191890173
123;FOXQ1;0.179425267;0.143178116;0.399219514;0.0885;0.191890173
207;LRCH2;-0.145105413;0.237743142;0.48173554;0.0885;0.191890173
267;PDE1B;-0.152358775;0.214847547;0.466171568;0.087;0.191890173
247;NNAT;-0.13941725;0.256837481;0.493927572;0.094;0.201505747
111;EPHA1;0.153045935;0.212761965;0.466171568;0.0955;0.203551429
150;GPD1;0.163849627;0.181833177;0.433348513;0.099;0.207455056
155;GPSM2;0.147930406;0.22863361;0.473945471;0.0985;0.207455056
344;TMED10;-0.140734308;0.252326436;0.492763145;0.099;0.207455056
44;CD164;0.133690912;0.277084395;0.513456133;0.1025;0.212402778
366;ZWINT;-0.13517976;0.271720822;0.511878114;0.1025;0.212402778
82;CSMD3;-0.152797794;0.213513437;0.466171568;0.1045;0.214016393
167;HEY1;-0.171370218;0.162318478;0.408962381;0.104;0.214016393
327;SST;-0.128384505;0.296770819;0.524623295;0.105;0.214016393
36;CALN1;0.161024633;0.189586207;0.437742009;0.1065;0.214575269
204;LMBRD1;0.132621995;0.280978342;0.513456133;0.107;0.214575269
308;SEMA4D;0.14928564;0.22435082;0.47341619;0.1065;0.214575269
180;IGFBPL1;0.156176334;0.203441767;0.457382597;0.111;0.216611979
228;MOXD1;-0.156138158;0.203553649;0.457382597;0.1115;0.216611979
253;NRP1;-0.128403593;0.296698406;0.524623295;0.1105;0.216611979
260;OSTF1;-0.152320599;0.214963833;0.466171568;0.1095;0.216611979
321;SLC8A1;0.13439716;0.274531412;0.512001084;0.111;0.216611979
368;C8orf46;-0.126246672;0.304954115;0.535707412;0.1105;0.216611979
121;FNBP1;0.147415036;0.230277107;0.473945471;0.1125;0.21742228
79;CRTAC1;0.143597477;0.242706844;0.483426457;0.114;0.219185567
231;MXD3;0.147243246;0.230826758;0.473945471;0.1165;0.22284359
224;MMP9;0.150659961;0.220065248;0.473271609;0.1175;0.223609694
185;INSIG2;0.129777914;0.291515045;0.52276496;0.1215;0.228886364
261;OXR1;-0.139684479;0.255917803;0.493927572;0.1215;0.228886364
302;S100B;0.131915747;0.283570948;0.513456133;0.1235;0.231484925
287;PTPRG;-0.138787353;0.259014157;0.493927572;0.1245;0.2321925
161;GSPT1;-0.138634651;0.259543711;0.493927572;0.127;0.233125
232;MXI1;0.140810659;0.252066591;0.492763145;0.1275;0.233125
347;TMEM163;-0.138004753;0.26173586;0.495570943;0.127;0.233125
369;ABCA8;0.139188197;0.25762756;0.493927572;0.1275;0.233125
237;NEDD4;0.141898663;0.248383607;0.490196219;0.1285;0.233807317
243;NFYB;0.14392197;0.24163274;0.483426457;0.1305;0.236293689
303;SCRG1;0.108475935;0.378570334;0.616623295;0.1315;0.236954106
108;EMP2;0.134588038;0.27384412;0.512001084;0.138;0.247471154
319;SLC1A2;-0.147109631;0.231254895;0.473945471;0.1405;0.250748804
284;PRR13;-0.132240239;0.282377792;0.513456133;0.142;0.252219048
5;ADAMTS1;0.128766261;0.295324761;0.524623295;0.1475;0.2564375
35;CADPS2;0.116683687;0.343332398;0.574539427;0.146;0.2564375
128;FZD7;-0.131152235;0.286391516;0.516058142;0.1485;0.2564375
214;MAPK8;-0.121360197;0.324202869;0.560968107;0.147;0.2564375
307;SEMA4A;-0.116645511;0.3434914;0.574539427;0.148;0.2564375
348;TMEM40;-0.132068449;0.283009047;0.513456133;0.146;0.2564375
322;SLITRK3;0.121894655;0.322060683;0.560968107;0.151;0.259552995
145;GNG11;0.118401589;0.336224921;0.572318159;0.156;0.266550228
211;LSM14A;0.113820518;0.355384848;0.589149104;0.1565;0.266550228
21;ASF1A;0.101833383;0.408621371;0.64857775;0.1605;0.269295964
51;CDH7;0.107693336;0.382040074;0.619569338;0.161;0.269295964
186;IQCH;-0.125998531;0.305913348;0.535707412;0.1605;0.269295964
291;RCAN2;0.094713636;0.442322074;0.67341279;0.1595;0.269295964
157;GREM2;0.093663807;0.447419413;0.675657656;0.163;0.271424107
86;CTNNB1;-0.108571374;0.378148496;0.616623295;0.1645;0.272704444
83;CSTF2;0.121131143;0.325123718;0.560968107;0.1715;0.280157205
142;GJA1;-0.103894865;0.399150011;0.638982636;0.172;0.280157205
163;GTF2B;0.120825738;0.3263541;0.560968107;0.17;0.280157205
325;SOX2;-0.116702775;0.343252915;0.574539427;0.172;0.280157205
148;GOLPH3;0.099027477;0.421720784;0.658307094;0.176;0.285426087
371;ATP6V0E2;-0.099008389;0.421810712;0.658307094;0.177;0.285805195
48;CDH12;0.082841028;0.501828573;0.717172634;0.181;0.29100431
95;DDAH1;-0.092804856;0.451614119;0.677718748;0.187;0.299360515
154;GPRC5B;0.115652946;0.347641558;0.578885273;0.188;0.299675214
15;AQP4;-0.112656162;0.360359862;0.594753224;0.1895;0.300780851
75;COL9A3;0.107082526;0.384761359;0.621281328;0.192;0.302177215
230;MTF2;0.103474933;0.401068819;0.639310553;0.1915;0.302177215
60;CHST2;-0.087994732;0.475501693;0.690125026;0.193;0.30247479
62;CITED2;0.118077096;0.337560308;0.572318159;0.1965;0.304126556
